english,turkish
norm,norm
allegation,iddia
pill,hap
tight,sıkı
cry,Ağla
okay,Tamam
pleased,memnun
plain,ova
inspector,müfettiş
forum,forum
powder,pudra
sin,günah
evident,belirgin
sponsor,sponsor
acceptance,kabul
prosecution,Soruşturma
cognitive,bilişsel
presidency,başkanlık
finance,finans
favor,iyilik
magic,büyü
northwest,Kuzey Batı
regulate,düzenlemek
exclude,hariç tutmak
colonial,sömürgeci
rent,kiraya vermek
peer,akran
civilian,sivil
harbor,liman
estimated,tahmini
rhythm,ritim
midnight,gece yarısı
counselor,danışman
highlight,vurgulamak
palace,Saray
trading,ticaret
compound,birleştirmek
bare,çıplak
echo,Eko
integrate,birleştirmek
slice,dilim
combat,savaşmak
shop,Dükkan
medium,orta
log,kayıt
surgeon,Cerrah
excuse,bahane
ritual,ritüel
resign,çekilmek
net,ağ
excited,heyecanlı
lightly,hafifçe
evil,fenalık
bitter,acı
export,ihracat
swing,sallanmak
clay,kil
logic,mantık
virtue,Erdem
container,konteyner
quarterback,oyun kurucu
beg,dilenmek
salmon,Somon
greet,selamlamak
curve,eğri
mill,değirmen
closet,dolap
interior,iç mekan
rod,kamış
candy,Şeker
restrict,kısıtlamak
initiate,başlatmak
reverse,tersi
ethical,etik
secondary,ikincil
administrative,Yönetim
confuse,şaşırtmak
deadly,ölümcül
pig,domuz
suburban,banliyö
medal,madalya
receiver,alıcı
gaze,bakış
collapse,çöküş
snake,yılan
march,Mart
experimental,deneysel
civilization,medeniyet
classical,klasik
fold,katlamak
weakness,zayıflık
corridor,koridor
harsh,sert
retail,perakende
mortgage,ipotek
harder,Daha güçlü
developer,geliştirici
legend,efsane
excitement,heyecanlanmak
enforce,zorlamak
murder,cinayet
occasional,ara sıra
cowboy,kovboy
minimum,asgari
flash,flaş
reliable,güvenilir
suburb,kenar mahalle
melt,erimek
fit,Uygun
contend,itiraz etmek
plead,yalvarmak
written,yazılı
flood,sel basmak
unlike,farklı
stem,kök
inevitable,kaçınılmaz
essence,öz
pitcher,sürahi
tip,İpucu
subtle,hemen göze çarpmayan
stretch,uzatmak
slam,çarpmak
unemployment,işsizlik
trunk,gövde
privilege,ayrıcalık
burst,patlamak
pitch,saha
architecture,mimari
monthly,aylık
render,işlemek
mainstream,ana akım
frankly,açıkçası
obstacle,engel
motivate,motive etmek
trap,tuzak kurmak
drinking,içme
elbow,dirsek
rumor,söylenti
swallow,Yutmak
legislative,yasama
lecture,ders
daily,günlük
jeans,kot
duck,ördek
slope,eğim
t-shirt,tişört
inspection,denetleme
speed,hız
strict,sıkı
overwhelming,karşı konulmaz bunaltıcı
assemble,birleştirmek
missing,eksik
seemingly,görünüşte
label,etiket
fraud,sahtekar
reach,ulaşmak
plain,ova
protest,protesto
implementation,uygulama
hunt,avlamak
boyfriend,erkek arkadaş
integration,entegrasyon
rat,fare
wish,dilek
broadcast,yayın
Korean,Koreli
nail,çivi
pen,kalem
consult,danışmak
companion,Arkadaş
encounter,rastlamak
monster,canavar
nightmare,kâbus
beef,biftek
win,kazanç
serving,porsiyon
globe,kürek
cholesterol,kolesterol
parliament,parlamento
suite,süit
continuing,devam ediyor
pop,pop
hence,buradan
lend,ödünç vermek
project,proje
sixth,altıncı
mud,çamur
pump,pompa
flour,un
hostage,rehin
ownership,sahiplik
facilitate,kolaylaştırmak
basement,bodrum
correlation,korelasyon
hurry,acele etmek
insect,böcek
arena,arena
drift,sürüklenme
notice,fark etme
domain,alan adı
cave,mağara
African-American,Afrikan Amerikan
consistently,sürekli
leap,sıçramak
final,son
effectiveness,verimlilik
maximum,maksimum
array,dizi
unexpected,beklenmedik
curtain,perde
sandwich,sandviç
peaceful,huzurlu
humanity,insanlık
prediction,tahmin
Roman,Roma
ideology,ideoloji
railroad,demiryolu
possession,mülk
horn,Boynuz
replacement,yenisiyle değiştirme
announcement,duyuru
pond,gölet
conduct,yönetmek
forgive,affetmek
past,geçmiş
Muslim,Müslüman
bishop,piskopos
aim,amaç
top,tepe
uncomfortable,rahatsız
subject,ders
laugh,kahkaha
rip,Huzur içinde yatsın
random,rastgele
herb,bitki
and/or,ve/veya
dump,çöplük
online,internet üzerinden
warm,ılık
guilt,suç
cattle,sığırlar
strain,Gerginlik
sheriff,şerif
behave,Davranmak
response,tepki
crystal,kristal
execute,uygulamak
wrist,bilek
motive,güdü
painter,ressam
convict,mahkum etmek
simultaneously,eşzamanlı
recession,durgunluk
await,beklemek
hallway,koridor
dose,doz
brush,fırçalamak
endure,dayanmak
counseling,danışmanlık
civilian,sivil
suck,emmek
accommodate,Karşılamak
traditionally,geleneksel olarak
spill,dökülme
fiscal,mali
welcome,Hoşgeldiniz
retired,emekli
closed,kapalı
gentle,nazik
separation,ayrılma
guard,koruma
warrior,savaşçı
convinced,ikna edilmiş
southwest,güneybatı
drunk,sarhoş
outdoor,dış mekan
tune,ayarlamak
patient,hasta
harm,zarar
cloth,bez
wherever,her nerede
administer,idare etmek
short,kısa
supervisor,amir
compromise,anlaşmak
grateful,minnettar olmak
Hispanic,İspanyol
Japanese,Japonca
mandate,yetki
average,ortalama
alarm,alarm vermek
cruise,seyir
injure,yaralamak
sculpture,heykel
award,ödül
drain,boşaltmak
temple,tapınak şakak .. mabet
dancer,dansçı
towel,havlu
Islam,İslâm
continuous,sürekli
govern,idare etmek
crown,taç
contractor,müteahhit
adolescent,ergen
skirt,etek
abuse,taciz
bacteria,bakteri
adoption,Benimseme
intelligent,zeki
praise,övmek
outer,dış
nearby,yakında
glance,bakış atmak
grip,kavramak
profound,engin
trigger,tetiklemek
stuff,şey
uncertainty,belirsizlik
driving,sürme
enthusiasm,heves
complexity,karmaşıklık
excuse,bahane
cafe,kafe
survey,anket
virtual,sanal
undermine,zayıflatmak
unity,birlik
chaos,kaos
commonly,yaygın olarak
endless,sonsuz
rhetoric,retorik
trait,karakter
pension,emeklilik
genuine,eşsiz
sweat,ter
European,Avrupalı
innovation,yenilik
no,hayır
matter,Önemli olmak
currency,para birimi
forty,kırk
lobby,lobi
theoretical,teorik
bat,yarasa
makeup,makyaj yapmak
pleasant,güzel
rebuild,yeniden inşa etmek
horrible,berbat
pad,ped
suspend,askıya almak
relieve,rahatlatma
resume,sürdürmek
respectively,sırasıyla
promotion,terfi
technological,teknolojik
galaxy,gökada
altogether,tamamen
apologize,özür dilemek
research,Araştırma
infrastructure,altyapı
shuttle,servis aracı
thumb,baş parmak
questionnaire,anket
sidewalk,kaldırım
businessman,işadamı
weird,garip
radiation,radyasyon
format,biçim
scare,Korkmak
bounce,sıçrama
doll,oyuncak bebek
attraction,cazibe
needle,iğne
Israeli,İsrail
lock,kilit
counterpart,karşılık
convey,iletmek
compensation,tazminat
ship,gemi
exclusive,özel
twist,bükmek
precise,kesin
suspicion,şüphe
southeast,güneydoğu
walking,yürüme
boost,artırmak
scatter,dağılmak
rebel,İsyancı
van,kamyonet
identical,birebir aynı
shame,utanç
blow,üflemek
delicate,narin
Olympics,Olimpiyatlar
wider,daha geniş
corruption,yolsuzluk
hook,kanca
lieutenant,teğmen
firmly,sıkıca
structural,yapısal
pause,Duraklat
invisible,görünmez
forehead,alın
traveler,gezgin
meaningful,anlamlı
provided,sağlanan
colony,koloni
signature,imza
database,veri tabanı
clerk,memur
dedicate,adamak
determination,belirleme
signal,sinyal
anxious,endişeli
sum,özet
frozen,dondurulmuş
juror,jüri üyesi
timing,zamanlama
punish,cezalandırmak
crawl,yavaş ilerleme
conscious,bilinçli
colonel,albay
fitness,Fitness
landing,iniş
doctrine,doktrin
belly,karın
pope,Papa
thereby,böylece
historically,tarihsel olarak
playoff,birbirine düşürmek
poster,afiş
harder,Daha güçlü
acquisition,kazanma
rescue,kurtarmak
departure,kalkış
summary,özet
wrong,yanlış
medium,orta
chronic,kronik
evil,fenalık
handsome,yakışıklı
finish,bitiş
hug,sarılmak
wow,vay
pursuit,kovalama
residence,Konut
loud,yüksek sesle
promising,umut verici
disk,disk
doorway,kapı
diagnosis,Teşhis
scout,izci
cancel,iptal etmek
desire,arzu
amid,ortasında
envelope,mektup
sooner,Er
beam,kiriş
reluctant,isteksiz
spouse,eş
fluid,sıvı
exit,çıkış
mild,ılıman
electrical,elektriksel
bite,ısırmak
bath,banyo
decent,terbiyeli
ankle,bilek
transaction,işlem
reporting,raporlama
exhibit,sergilemek
pit,çukur
practically,pratikte
oxygen,oksijen
racism,ırkçılık
fist,yumruk
garbage,çöp
ban,yasaklamak
guitar,gitar
expertise,Uzmanlık
parade,geçit töreni
exploration,keşif
carve,oymak
realm,Diyar
recipient,alıcı
residential,yerleşim
bias,ön yargı
sunlight,Güneş ışığı
lamp,Lamba
donor,donör
repair,onarım
sharply,keskin bir şekilde
hers,onunki
guidance,rehberlik
diplomatic,diplomatik
classic,klasik
purple,mor
princess,prenses
candle,mum
advocate,savunucu
generous,cömert
strip,şerit
necessity,zorunluluk
tuck,sıkmak
debate,çekişme
statue,heykel
frame,çerçeve
elevator,asansör
popularity,popülerlik
indicator,gösterge
entity,varlık
interior,iç mekan
limb,uzuv
bold,gözü pek
hesitate,tereddüt etmek
magic,büyü
starting,Başlangıç
diminish,azaltmak
inside,içeri
readily,kolayca
elegant,zarif
engagement,nişanlanmak
rage,öfkelenmek
destination,hedef
realistic,gerçekçi
intent,niyet
metaphor,metafor
automobile,otomobil
productive,üretken
endorse,onaylamak
isolate,izole etmek
confess,itiraf etmek
wilderness,el değmemiş doğa
minimize,küçültmek
diagnose,teşhis koymak
happiness,mutluluk
spectrum,spektrum
hint,ipucu
eating,yemek yiyor
tune,ayarlamak
volunteer,gönüllü
abstract,Öz
revolutionary,devrimci
gym,Jimnastik
addition,ilave
Russian,Rusça
disappointed,hayal kırıklığına uğramış
particle,parçacık
repair,onarım
dynamic,dinamik
pump,pompa
kiss,öpücük
value,değer
automatically,otomatik olarak
overall,etraflı
dawn,şafak
ruling,yonetmek
mechanical,mekanik
feel,hissetmek
vitamin,vitamin
silly,şapşal
handle,üstesinden gelmek
artificial,yapay
outstanding,Muhteşem
age,yaş
peel,kabuk
rescue,kurtarmak
oral,Oral
o'clock,saat
undertake,üstlenmek
lonely,yalnız
servant,hizmetkar
indigenous,yerli
civic,sivil
full-time,tam zamanlı
worry,endişe etmek
cooperate,işbirliği yapmak
casual,gündelik
behavioral,davranışsal
shortage,kıtlık
reception,resepsiyon
offering,teklif
huh,Ha
credibility,güvenilirlik
chin,Çene
physics,fizik
vanish,yok olmak
blend,karışım
noon,öğle vakti
precious,değerli
command,emretmek
wake,uyanmak
flip,ters çevirme
scary,korkutucu
pizza,Pizza
toilet,tuvalet
representative,temsilci
silk,ipek
bid,teklif etmek
gathering,toplama
softly,yumuşakça
annually,her yıl
hook,kanca
suffering,cefa
accuracy,kesinlik
marine,deniz
broker,komisyoncu
hopefully,inşallah
descend,inmek
tide,gelgit
trail,iz
stumble,yanılmak
verbal,sözlü
spring,bahar
collector,kolektör
judicial,yargı
burning,yanma
inventory,envanter
fool,aptal
way,yol
loyalty,bağlılık
performer,icracı
kit,set
romance,romantik
quantity,miktar
alleged,iddia edilen
therapist,terapist
longtime,uzun zaman
sink,lavabo
sentiment,duygusallık
sodium,sodyum
seal,fok
trailer,tanıtım videosu
spread,yayılmış
shared,ortak
equity,Eşitlik
banking,bankacılık
ridiculous,gülünç
processing,işleme
please,lütfen
dilemma,ikilem
quest,arayış
pillow,yastık
slice,dilim
shock,şok
lately,son zamanlarda
laser,lazer
rigid,sert
ours,bizim
prohibit,yasaklamak
switch,değiştirmek
genius,dahi
starter,marş
stem,kök
primary,öncelik
cart,araba
trap,tuzak kurmak
Cuban,Küba
inmate,mahkum
sacrifice,kurban
officially,resmi olarak
slap,tokat
credit,kredi
mysterious,gizemli
Arab,Arap
specialize,uzmanlaşmak
fork,çatal
invitation,davet
sail,denize açılmak
regulatory,düzenleyici
cartoon,karikatür
stiff,katı
courtroom,mahkeme salonu
import,içe aktarmak
tightly,sıkıca
flash,flaş
equation,denklem
treasure,hazine
jaw,çene
scan,taramak
condemn,kınamak
improved,gelişmiş
pickup,almak
dignity,itibar
inspiration,esin
automatic,otomatik
merchant,tüccar
Greek,Yunan
hostile,hasım
extended,Genişletilmiş
homeland,anavatan
gasoline,benzin
gravity,Yerçekimi
defeat,yenilgi
near,yakın
thoroughly,iyice
exchange,değiş tokuş
bow,yay
glory,görkem
reserve,rezerve etmek
optimistic,iyimser
sergeant,Çavuş
casualty,yaralı
concede,kabul etmek
bloody,kanlı
barn,ahır
donate,bağış yapmak
unite,birleştirmek
pro,profesyonel
senior,kıdemli
feedback,geri bildirim
grief,yas
spite,kınama
steep,dik
productivity,verimlilik
conceive,gebe kalmak
tender,sunmak
continent,kıta
hardware,donanım
equip,donatmak
wagon,vagon
besides,dışında
output,çıktı
withdrawal,para çekme
elder,yaşlı
cage,kafes
coastal,kıyı
patience,sabır
shallow,sığ
earthquake,deprem
voting,oylama
input,giriş
canvas,tuval
slide,kayma
click,Tıklayın
sword,kılıç
mate,mat
portfolio,portföy
bug,böcek
refrigerator,buzdolabı
escape,kaçmak
heat,sıcaklık
northeast,kuzeydoğu
seventh,yedinci
post,İleti
combined,birleştirilmiş
alien,yabancı
willingness,istekli olma
hidden,gizlenmiş
accounting,muhasebe
sexually,cinsel olarak
chop,kesmek
patrol,devriye gezmek
symbolic,simgesel
ruin,mahvetmek
rock,kaynak
drum,davul
opposed,karşı
sheer,sırf
ideological,ideolojik
discourage,vazgeçirmek
canal,kanal
prior,önceki
haul,çekmek
protective,koruyucu
regard,saygınlık
conspiracy,komplo
steam,buhar
embassy,elçilik
tackle,olta takımı
tropical,tropikal
instantly,anında
bubble,kabarcık
calm,sakinlik
sheep,koyun
rent,kiraya vermek
accent,Aksan
grasp,sıkı sıkı tutmak
modify,değiştirmek
grin,sırıtış
toxic,toksik
mixed,karışık
magnitude,büyüklük
afterward,sonrasında
root,kök
progressive,ilerici
manipulate,manipule etmek
vaccine,aşı
monument,anıt
trace,iz
verdict,karar
flexible,esnek
declaration,beyanname
costume,kostüm
drawer,çekmece
bless,kutsamak
rack,raf
secure,güvenli
position,durum
deeper,Daha derine
divorce,boşanmak
neutral,doğal
fascinating,büyüleyici
terrific,müthiş
sympathy,sempati
draft,taslak
spectacular,muhteşem
ounce,ons
rear,arka
inn,Han
collaboration,işbirliği
clip,klips
instruct,öğretmek
sock,çorap
rider,binici
revelation,vahiy
object,nesne
accomplishment,başarı
seal,fok
faint,bayılmak
ease,kolaylaştırmak
spell,harf harf kodlamak
gospel,Müjde
whale,balina
theatre,tiyatro
coordinator,koordinatör
talented,yetenekli
alongside,yanında
cab,taksi
isolation,izolasyon
costly,pahalı
tragic,trajik
loud,yüksek sesle
instinct,içgüdü
seat,koltuk
intimate,samimi
underlying,altta yatan
respect,saygı
influential,etkili
pastor,papaz
presumably,muhtemelen
cook,pişirmek
skip,atlamak
eleven,on bir
tens,onlar
whoever,her kim
ancestor,Ata
safely,güvenli bir şekilde
nominee,aday
exotic,acayip
minimal,en az
uncertain,belirsiz
Persian,Farsça
parental,ebeveyn
orchestra,orkestra
treasury,hazine
tolerate,tolere etmek
gallon,galon
thigh,uyluk
fortunately,neyse ki
ambitious,hırslı
actively,aktif olarak
flexibility,esneklik
jar,kavanoz
cocaine,kokain
incredibly,inanılmaz şekilde
consequently,sonuç olarak
documentary,belgesel
charge,şarj
insert,sokmak
ambition,hırs
functional,işlevsel
bankruptcy,iflas
runner,koşucu
execution,uygulamak
crush,ezmek
buddy,ahbap
workplace,iş yeri
skull,kafatası
cord,kordon
fixed,sabit
equivalent,eşdeğer
casino,kumarhane
reliability,güvenilirlik
expected,beklenen
boil,kaynama
whip,kırbaçlamak
divine,ilahi
proposition,önerme
census,nüfus sayımı
correction,düzeltme
jump,zıplamak
diary,günlük
nest,yuva
statute,tüzük
exam,sınav
metropolitan,metropol
star,yıldız
nutrition,beslenme
breeze,esinti
illusion,yanılsama
anonymous,anonim
coup,darbe
midst,ortasında
edit,Düzenle
experienced,Tecrübeli
castle,kale
sort,çeşit
exploit,faydalanmak
jewelry,takı
diabetes,diyabet
translation,tercüme
Dutch,Flemenkçe
upset,üzgün
harm,zarar
irony,ironi
associated,birleşmiş
utilize,faydalanmak
rabbit,tavşan
soap,sabun
booth,çardak
minimum,asgari
immune,bağışık
gut,bağırsak
appreciation,takdir
cast,oyuncu kadrosu
scramble,karıştırmak
upstairs,üst katta
punch,yumruk
gross,brüt
liability,yükümlülük
accessible,erişilebilir
mechanic,tamirci
ass,eşek
aesthetic,estetik
dessert,tatlı
waist,bel
alike,aynı
brave,cesur
loop,döngü
passing,geçen
partially,kısmen
statistical,istatistiksel
correctly,doğru şekilde
pin,toplu iğne
practitioner,uygulayıcı
encouraging,teşvik edici
syndrome,sendrom
tribal,kabile
persist,ısrar etmek
trash,çöp
teenage,gençlik
self-esteem,benlik saygısı
preliminary,ön hazırlık
stay,kalmak
sunset,gün batımı
harassment,taciz
reportedly,bildirilmiş
quote,alıntı
fever,ateş
panic,panik
charter,tüzük
outlook,görünüm
foster,gayretlendirmek
comprise,içermek
known,bilinen
Thanksgiving,Şükran Günü
short-term,kısa dönem
shed,baraka
cooperative,işbirliği ile ilgili
alley,sokak
subsidy,sübvansiyon
secular,laik
aluminum,alüminyum
cliff,uçurum
gram,gram
outline,taslak
mentally,akıllıca
invade,istila etmek
confrontation,yüzleşme
sacrifice,kurban
dissolve,çözmek
shy,utangaç
coin,madeni para
speculation,spekülasyon
creativity,yaratıcılık
custody,velayet
interfere,karışmak
spoon,kaşık
bee,bal arısı
rolling,yuvarlanma
interact,etkileşime girmek
damn,lanet etmek
dam,baraj
unfair,haksız
someday,bir gün
liquid,sıvı
disclose,ifşa etmek
mushroom,mantar
disabled,engelli
counter,tezgah
catalog,katalog
gaze,bakış
publicity,tanıtım
compel,zorlamak
cease,durdurmak
ideal,ideal
decorate,süslemek
surrounding,çevreleyen
exclusively,münhasıran
bonus,bonus
unprecedented,benzeri görülmemiş
oversee,denetlemek
touchdown,gol
federation,federasyon
aggression,saldırı
behalf,adına
well-known,tanınmış
donation,bağış
desperately,umutsuzca
reward,ödül
high-tech,yüksek teknoloji
cheat,aldatmak
audio,ses
sensation,duygu
entrepreneur,girişimci
proclaim,ilan etmek
supplier,Tedarikçi
rival,rakip
reminder,hatırlatma
heal,iyileştirmek
case,dava
beast,canavar
uncover,ortaya çıkarmak
merit,hak
momentum,itme
stimulate,canlandırmak
rational,akılcı
columnist,köşe yazarı
pioneer,öncü
biology,Biyoloji
photography,fotoğrafçılık
innovative,yenilikçi
purse,el çantası
franchise,franchise
consent,razı olmak
outfit,kıyafet
eve,havva
spray,sprey
shove,kıpırdamak
fisherman,balıkçı
sensitivity,duyarlılık
courtesy,nezaket
stack,yığın
pork,domuz
teammate,takım arkadaşı
instant,ani
pulse,nabız
outsider,yabancı
pro,profesyonel
helmet,kask
ladder,merdiven
openly,açıkça
fierce,sert
bet,bahis
required,gereklidir
shrink,çekmek
cute,Sevimli
dot,nokta
weaken,zayıflatmak
filter,filtre
worldwide,Dünya çapında
envision,öngörmek
videotape,video kaseti
partial,kısmi
patent,patent
tray,tepsi
jungle,orman
classify,sınıflandırmak
specialty,uzmanlık
nasty,edepsiz
aisle,koridor
graph,grafik
wound,yara
sexy,seksi
disturb,rahatsız etmek
excessive,aşırı
banker,bankacı
aid,yardım
installation,Kurulum
swimming,yüzme
placement,atama
attendance,katılma
informal,gayri resmi
sack,çuval
flood,sel basmak
eighth,sekizinci
premise,Öncül
grill,ızgara
model,model
dying,ölme
colorful,renkli
hockey,hokey
backyard,arka bahçe
collar,yaka
breathing,nefes alma
logical,mantıklı
lightning,Şimşek
dried,kurutulmuş
discount,indirim
sole,Tek
boast,övünme
tag,etiket
sibling,kardeş
stove,soba
trainer,eğitimci
vertical,dikey
added,katma
marketplace,pazar
cure,tedavi
curiosity,merak
organizational,örgütsel
shrimp,karides
inherit,miras almak
color,renk
distract,dikkatini dağıtmak
isolated,yalıtılmış
planner,planlamacı
supposedly,sözde
likewise,aynı şekilde
monkey,maymun
toll,Geçiş ücreti
embarrassed,utanmış
deliberately,kasten
bicycle,bisiklet
stance,duruş
orbit,yörünge
hormone,hormon
depressed,bunalımlı
organism,organizma
deploy,dağıtmak
strictly,kesin olarak
deem,kabul etmek
eyebrow,kaş
legally,yasal olarak
puzzle,bulmaca
icon,simge
pat,patlamak
closest,en yakın
sneak,gizlice gizlice girme
fleet,filo
conservation,koruma
supportive,destekleyici
comparable,karşılaştırılabilir
texture,doku
access,erişim
striking,dikkat çekici
associate,iş arkadaşı
Christianity,Hıristiyanlık
dip,dalmak
disappointment,hayal kırıklığı
sleeve,elbise kolu
socially,sosyal olarak
wheat,buğday
chunk,yığın
two-thirds,üçte ikisi
pile,istif
refuge,sığınmak
blank,boşluk
unfold,açılmak
considerably,önemli ölçüde
frontier,sınır
faster,Daha hızlı
suspicious,şüpheli
conception,anlayış
feather,kuş tüyü
elephant,fil
rain,yağmur
cure,tedavi
near,yakın
intellectual,entelektüel
textbook,ders kitabı
joke,şaka
glimpse,göz atmak
inevitably,kaçınılmaz olarak
triumph,zafer
plunge,dalma
sphere,küre
hunger,açlık
density,yoğunluk
cheer,tezahürat etmek
balanced,dengeli
protocol,protokol
part,Bölüm
legislator,yasa koyucu
auction,açık arttırma
equality,eşitlik
risky,riskli
cemetery,mezarlık
builder,kurucu
awake,uyanmak
retailer,perakendeci
debut,çıkış
tighten,sıkılaştırmak
spare,kıyamamak
compromise,anlaşmak
constraint,kısıtlama
compliance,uyma
sponsor,sponsor
emerging,ortaya çıkan
this,Bu
elaborate,detaylandırmak
atop,üstünde
chew,çiğnemek
similarity,benzerlik
pencil,kalem
calculation,hesaplama
tolerance,hata payı
astronomer,astronom
bulk,toplu
arm,kol
interval,Aralık
notebook,not defteri
genre,Tür
likelihood,olasılık
liberal,liberal
streak,meç
rib,kaburga
scent,koku
validity,geçerlilik
grin,sırıtış
steer,yönlendirmek
intact,bozulmamış
shark,köpek balığı
uh,uh
programming,programlama
dumb,sersem
formerly,vakti zamanında
squad,Tayfa
comply,uymak
debris,enkaz
peasant,köylü
outlet,çıkış
chase,kovalamak
neat,düzenli
valid,geçerli
kingdom,krallık
solely,yalnızca
eligible,uygun
regret,pişmanlık
municipal,belediye
strain,Gerginlik
deposit,Depozito
transport,Ulaşım
dough,Hamur
lid,kapak
voluntary,gönüllü
journalism,gazetecilik
any,hiç
impulse,dürtü
policeman,polis
objection,itiraz
thrive,gelişmek
privately,özel olarak
cling,yapışan
halfway,yarıya kadar
unhappy,mutsuz
rally,ralli
scratch,kaşımak
robot,robot
conversion,dönüştürmek
supermarket,süpermarket
blink,Göz kırpmak
philosophical,felsefi
happily,mutlulukla
thread,iplik
allegedly,iddiaya göre
ash,kül
dynamics,dinamik
denial,inkar
riot,isyan
soar,yükselmek
mentor,akıl hocası
beard,sakal
widow,dul
offender,suçlu
landmark,dönüm noktası
apart,ayrı
instant,ani
routinely,rutin olarak
butt,çan
forbid,yasaklamak
bomb,bomba
migration,göç
carrot,havuç
harmony,uyuşma
downtown,şehir merkezi
brutal,vahşi
prevail,hakim olmak
weed,esrar
exhaust,egzoz
pasta,makarna
distinctive,ayırt edici
fraction,fraksiyon
remark,söz
emotionally,duygusal olarak
poke,dürtmek
guarantee,garanti
dancing,dans
trouble,bela
freshman,birinci sınıf öğrencisi
suitable,uygun
youngster,genç
slavery,kölelik
balloon,balon
opt,seçmek
crowded,kalabalık
liver,karaciğer
listener,dinleyici
calm,sakinlik
ironically,ironik olarak
affirmative,olumlu
commodity,emtia
fur,kürk
freely,serbestçe
light,ışık
removal,kaldırma
regard,saygınlık
round,yuvarlak
goat,keçi
shareholder,hissedar
expedition,sefer
loyal,sadık
conscience,vicdan
fragile,kırılgan
calendar,takvim
mineral,mineral
coming,gelen
circle,daire
fare,Ücret
blessing,nimet
liberation,kurtuluş
steak,Biftek
liquid,sıvı
ecological,ekolojik
banana,muz
catch,tutmak
steadily,istikrarlı bir şekilde
blast,üfleme
nonprofit,kar amacı gütmeyen kuruluş
mobile,hareketli
straw,Saman
projection,projeksiyon
rubber,lastik
overnight,bir gecede
neighboring,komşu
enact,sahnelemek
favorable,elverişli
severely,şiddetli
demographic,demografik
terrain,arazi
explicit,açık
integrated,Birleşik
terribly,çok
veteran,kıdemli
level,seviyesi
sofa,divan
screw,vida
shield,kalkan
invention,buluş
Iraqi,Irak
perceived,algılanan
leave,ayrılmak
cruel,zalim
bomber,bombardıman uçağı
provoke,kışkırtmak
autonomy,özerklik
publishing,yayıncılık
retreat,geri çekilmek
theology,teoloji
substantially,esasen
mansion,konak
developmental,gelişim
one-third,üçte bir
transmit,aktarmak
contemplate,düşünmek
authorize,yetki vermek
mathematics,matematik
battle,savaş
old-fashioned,eski moda
lawmaker,milletvekili
threshold,eşik
radar,radar
seldom,nadiren
low,düşük
headache,baş ağrısı
rental,kira
spy,casus
patron,patron
driveway,araba yolu
till,kadar
broadcast,yayın
overwhelm,kaplamak
coordinate,koordinat
vendor,SATICI
transport,Ulaşım
fragment,parça
hammer,çekiç
seminar,seminer
availability,kullanılabilirlik
peanut,fıstık
fantastic,harika
depart,ayrılmak
permit,izin vermek
cottage,kır evi
specify,belirtmek
frustrate,hayal kırıklığına uğratmak
disturbing,rahatsız edici
artifact,artefakt
basin,havza
regain,yeniden kazanmak
grape,üzüm
ego,benlik
sometime,bazen
organized,organize edilmiş
charm,cazibe
sweater,Kazak
rim,jant
speculate,spekülasyon yapmak
delight,zevk
fatigue,tükenmişlik
devastating,yıkıcı
instructional,öğretim
plea,savunma
tourism,turizm
crowd,kalabalık
warmth,sıcaklık
jurisdiction,yargı yetkisi
update,Güncelleme
accusation,suçlama
diagram,diyagram
middle-class,orta sınıf
graduation,mezuniyet
mention,Anma
beyond,öte
within,içinde
spark,kıvılcım
convenience,kolaylık
chill,soğuk
economically,ekonomik olarak
undergraduate,lisans
dictate,dikte
regulator,regülatör
defender,savunucu
workout,antrenman yapmak
accurately,doğruca
tile,fayans
foreigner,yabancı
importantly,önemlisi
citizenship,vatandaşlık
plaza,plaza
devise,tasarlamak
premium,ödül
chemistry,kimya
bureaucracy,bürokrasi
inherent,doğal
hazard,tehlike
swell,kabarma
bride,gelin
bow,yay
processor,işlemci
bucket,Kova
timber,kereste
feminist,feminist
till,kadar
tumor,tümör
apology,özür
screening,tarama
arrow,ok
marker,işaretleyici
sunny,güneşli
technician,teknisyen
homework,ev ödevi
fog,sis
soak,emmek
mortality,mortalite
flying,uçan
accountability,Hesap verebilirlik
skilled,yetenekli
straighten,düzeltmek
sprinkle,serpmek
cue,isteka
epidemic,epidemi
articulate,ifade
rehabilitation,rehabilitasyon
diplomat,diplomat
ribbon,kurdele
transit,taşıma
militia,milis
kneel,diz çökmek
seller,satıcı
fatal,ölümcül
twist,bükmek
compelling,zorlayıcı
praise,övmek
copy,kopya
well-being,refah
laundry,çamaşır
screen,ekran
confession,itiraf
twentieth,yirminci
dense,yoğun
accelerate,hızlanmak
tribute,takdir
smoking,sigara içmek
aboard,gemide
marble,mermer
entertain,eğlendirmek
boring,sıkıcı
scrutiny,inceleme
bizarre,tuhaf
bargain,pazarlık etmek
deeper,Daha derine
drown,bastırmak
biography,biyografi
naval,deniz
nationwide,ülke çapında
skeptical,şüpheci
shorts,şort
lens,lens
spit,tükürmek
sexuality,cinsellik
rape,tecavüz etmek
warehouse,depo
paradise,cennet
nominate,aday göstermek
developed,gelişmiş
campaign,kampanya
unfortunate,talihsiz
grandchild,torun
tenure,görev süresi
preach,vaaz vermek
slot,yuva
stereotype,stereotip
bulb,ampul
weave,örmek
merger,birleşme
inadequate,yetersiz
objective,amaç
electronics,elektronik
trim,dikmek
